base_step_scale,fov_schedule,ks,ks_from_visibility,ks_mode,ks_transition_deg,max_step_deg,min_step_deg,step_norm_mode,trajectory_jacobian_step,visibility_alpha_deg,te,re,vis_improvement
2.295659651301177,"60,30,15",40.93328581559948,True,map,15.9,3.8656353801472076,1.7596735149183902,points,0.07516941031513492,15.0,0.3354851903292138,6.2600673046018525,
2.3716374770062,"60,30,15",20.0,False,const20,,3.738107307126531,1.3644341858854097,jacobian,0.09093153547814872,,0.34581821968448107,6.496334423722726,
1.2210250916606442,"90,60,30, 15",40.93328581559948,True,map,15.9,1.1591016316890272,0.9637105190554387,points,0.10755360023231549,15.0,0.36725215111224463,6.997512669744936,
2.1779281198251375,"60,30,15",40.93328581559948,True,map,15.9,3.0516656511792477,1.8782647943103323,points,0.11813136728564345,15.0,0.34663466675396215,6.3826634986123185,
2.63635318572723,"60,30,15",40.93328581559948,True,map,15.9,3.314211590961585,1.1570659899503106,points,0.06567975163906978,15.0,0.33567459072755884,6.20222378550835,
2.5036219102299824,15,20.0,False,const20,,3.385949062869338,1.5757513912723287,points,0.14101841031695128,,0.3501978385492212,6.670245169323982,
2.6205012543675283,"60,30,15",40.93328581559948,True,map,15.9,3.32497309326586,1.1766295456188223,points,0.0671695207987378,15.0,0.3425255739474642,6.316692735747078,
2.860227122973672,"60,30,15",40.93328581559948,True,map,15.9,3.509881743214627,1.1352886723955828,points,0.09026686623903063,15.0,0.34512814333874686,6.359838865592562,
2.414451621418009,"60,30,15",40.93328581559948,True,map,15.9,3.957312177721894,0.9740183592863432,points,0.29296907526718474,15.0,0.3478518326019974,6.46053861530664,
2.6649637382154174,"60,30,15",40.93328581559948,True,map,15.9,3.99899130033908,1.0737309406507274,points,0.07911692020312817,15.0,0.3418593491597526,6.253541513200207,
2.764627562313494,"60,30,15",40.93328581559948,True,map,15.9,3.287541623185807,1.2956186671004852,points,0.06082532208674932,15.0,0.34135259980439236,6.427656568300013,
2.9374004970756715,"180,90,30,15",40.93328581559948,True,map,15.9,3.7223456439272335,1.4856995980212588,jacobian,0.07461707034433279,15.0,0.33354885650467425,6.3715383989065835,
1.3508802666829733,"45,30,15",40.93328581559948,True,map,15.9,3.8672411607007344,1.8290516653043967,points,0.09885357594622482,15.0,0.34723020403450167,6.531872039618078,
2.5376253144774923,"60,30,15",71.0,False,const71,,2.7238391561584305,1.929055946681616,points,0.24383776703908328,,0.36856633186106014,7.095120183319887,
